# MOISTURE,KNOT_RATIO,TREERING,E,DENSITY,BEAMHEIGHT,BENDING_STRENGTH,STIFFNES
# %,-,MM,N/MM2,KG/M3,CM,N/MM2,N/MM
1.200000000000000000e+01,2.099999999999999922e-01,4.790000000000000036e+00,1.866600000000000000e+04,6.540000000000000000e+02,1.020000000000000000e+02,8.595000000000000284e+01,2.859094696598373844e+02
1.280000000000000071e+01,1.400000000000000133e-01,3.069999999999999840e+00,1.572700000000000000e+04,5.940000000000000000e+02,1.010000000000000000e+02,1.015300000000000011e+02,2.457343750000000853e+02
1.219999999999999929e+01,1.199999999999999956e-01,2.089999999999999858e+00,1.724000000000000000e+04,6.580000000000000000e+02,1.020000000000000000e+02,8.206000000000000227e+01,2.640672483089894058e+02
1.280000000000000071e+01,0.000000000000000000e+00,2.450000000000000178e+00,1.435500000000000000e+04,6.630000000000000000e+02,1.020000000000000000e+02,7.273999999999999488e+01,2.198773404568180467e+02
1.240000000000000036e+01,1.600000000000000033e-01,4.599999999999999645e+00,1.555100000000000000e+04,6.110000000000000000e+02,9.900000000000000000e+01,6.595999999999999375e+01,2.530033059142024285e+02
1.180000000000000071e+01,1.199999999999999956e-01,3.779999999999999805e+00,1.865200000000000000e+04,5.820000000000000000e+02,1.000000000000000000e+02,6.787000000000000455e+01,2.973548617488012269e+02
1.159999999999999964e+01,2.800000000000000266e-01,2.620000000000000107e+00,2.049400000000000000e+04,6.210000000000000000e+02,9.800000000000000000e+01,4.088000000000000256e+01,3.403323945158890638e+02
1.180000000000000071e+01,7.000000000000000666e-02,3.240000000000000213e+00,1.998200000000000000e+04,6.410000000000000000e+02,1.000000000000000000e+02,6.928000000000000114e+01,3.185580553004796229e+02
1.150000000000000000e+01,8.000000000000000167e-02,2.180000000000000160e+00,1.211000000000000000e+04,5.060000000000000000e+02,1.010000000000000000e+02,7.703000000000000114e+01,1.892187500000000284e+02
1.190000000000000036e+01,3.400000000000000244e-01,2.720000000000000195e+00,1.140000000000000000e+04,5.960000000000000000e+02,1.000000000000000000e+02,4.222999999999999687e+01,1.817416590143863289e+02
1.200000000000000000e+01,2.800000000000000266e-01,4.219999999999999751e+00,1.469500000000000000e+04,5.110000000000000000e+02,1.020000000000000000e+02,4.847999999999999687e+01,2.250851632192923262e+02
1.269999999999999929e+01,1.100000000000000006e-01,4.259999999999999787e+00,1.221500000000000000e+04,5.520000000000000000e+02,1.010000000000000000e+02,3.053999999999999915e+01,1.908593750000000284e+02
1.209999999999999964e+01,2.899999999999999800e-01,2.830000000000000071e+00,1.267400000000000000e+04,5.650000000000000000e+02,1.010000000000000000e+02,4.878999999999999915e+01,1.980312500000000284e+02
1.219999999999999929e+01,5.300000000000000266e-01,3.930000000000000160e+00,9.134000000000000000e+03,5.640000000000000000e+02,1.010000000000000000e+02,2.860000000000000142e+01,1.427187500000000284e+02
1.190000000000000036e+01,2.399999999999999911e-01,2.089999999999999858e+00,1.394100000000000000e+04,6.070000000000000000e+02,1.030000000000000000e+02,6.161999999999999744e+01,2.093695934256055580e+02
1.200000000000000000e+01,5.899999999999999689e-01,4.519999999999999574e+00,1.151100000000000000e+04,5.550000000000000000e+02,1.020000000000000000e+02,3.046000000000000085e+01,1.763154347612979507e+02
1.259999999999999964e+01,3.300000000000000155e-01,2.700000000000000178e+00,1.468500000000000000e+04,5.790000000000000000e+02,1.000000000000000000e+02,5.956000000000000227e+01,2.341119528619529149e+02
1.300000000000000000e+01,2.099999999999999922e-01,3.669999999999999929e+00,1.212700000000000000e+04,5.540000000000000000e+02,1.010000000000000000e+02,5.047999999999999687e+01,1.894843750000000284e+02
1.180000000000000071e+01,4.000000000000000222e-01,4.349999999999999645e+00,1.466900000000000000e+04,5.730000000000000000e+02,1.000000000000000000e+02,5.339999999999999858e+01,2.338568768493011589e+02
1.190000000000000036e+01,3.900000000000000133e-01,5.129999999999999893e+00,1.174300000000000000e+04,5.200000000000000000e+02,1.000000000000000000e+02,4.796000000000000085e+01,1.872098510356086365e+02
1.240000000000000036e+01,2.500000000000000000e-01,2.970000000000000195e+00,1.107800000000000000e+04,5.170000000000000000e+02,1.010000000000000000e+02,4.660999999999999943e+01,1.730937500000000284e+02
1.190000000000000036e+01,5.000000000000000000e-01,2.830000000000000071e+00,1.268600000000000000e+04,4.680000000000000000e+02,1.050000000000000000e+02,5.392000000000000171e+01,1.832643768491124376e+02
1.219999999999999929e+01,1.900000000000000022e-01,2.500000000000000000e+00,1.102500000000000000e+04,5.830000000000000000e+02,1.040000000000000000e+02,3.092999999999999972e+01,1.623768734093694093e+02
1.319999999999999929e+01,5.000000000000000278e-02,5.049999999999999822e+00,1.447800000000000000e+04,5.070000000000000000e+02,1.010000000000000000e+02,6.495000000000000284e+01,2.262187500000000853e+02
1.209999999999999964e+01,1.000000000000000056e-01,5.879999999999999893e+00,9.602000000000000000e+03,5.090000000000000000e+02,1.040000000000000000e+02,5.322999999999999687e+01,1.414188424922236038e+02
1.190000000000000036e+01,2.800000000000000266e-01,3.580000000000000071e+00,1.222400000000000000e+04,5.520000000000000000e+02,1.010000000000000000e+02,5.246000000000000085e+01,1.910000000000000284e+02
1.269999999999999929e+01,1.000000000000000056e-01,3.549999999999999822e+00,1.467500000000000000e+04,5.790000000000000000e+02,1.010000000000000000e+02,6.440000000000000568e+01,2.292968750000000853e+02
1.380000000000000071e+01,5.000000000000000278e-02,3.620000000000000107e+00,9.818000000000000000e+03,5.610000000000000000e+02,1.030000000000000000e+02,5.632000000000000028e+01,1.474492983467897034e+02
1.219999999999999929e+01,2.999999999999999889e-01,3.069999999999999840e+00,1.111500000000000000e+04,5.240000000000000000e+02,1.010000000000000000e+02,4.750000000000000000e+01,1.736718750000000284e+02
1.230000000000000071e+01,2.500000000000000000e-01,4.830000000000000071e+00,1.270000000000000000e+04,4.720000000000000000e+02,1.020000000000000000e+02,2.662000000000000099e+01,1.945274973041859141e+02
1.200000000000000000e+01,3.300000000000000155e-01,2.890000000000000124e+00,1.139000000000000000e+04,4.840000000000000000e+02,1.030000000000000000e+02,4.945000000000000284e+01,1.710580065359477260e+02
1.330000000000000071e+01,2.000000000000000111e-01,2.790000000000000036e+00,1.320800000000000000e+04,5.740000000000000000e+02,1.030000000000000000e+02,4.802000000000000313e+01,1.983612072279892402e+02
1.280000000000000071e+01,1.700000000000000122e-01,3.540000000000000036e+00,1.332400000000000000e+04,5.020000000000000000e+02,1.030000000000000000e+02,7.350000000000000000e+01,2.001033256439830836e+02
1.300000000000000000e+01,1.799999999999999933e-01,4.679999999999999716e+00,1.284800000000000000e+04,4.900000000000000000e+02,1.020000000000000000e+02,4.875000000000000000e+01,1.967944319184394146e+02
1.280000000000000071e+01,1.900000000000000022e-01,4.360000000000000320e+00,9.858000000000000000e+03,4.930000000000000000e+02,1.010000000000000000e+02,3.585999999999999943e+01,1.540312500000000284e+02
1.190000000000000036e+01,3.800000000000000044e-01,4.900000000000000355e+00,1.123500000000000000e+04,4.850000000000000000e+02,1.020000000000000000e+02,3.402000000000000313e+01,1.720879080482306165e+02
1.209999999999999964e+01,3.099999999999999978e-01,4.679999999999999716e+00,1.060000000000000000e+04,5.140000000000000000e+02,1.010000000000000000e+02,4.732999999999999829e+01,1.656250000000000284e+02
1.280000000000000071e+01,1.499999999999999944e-01,2.220000000000000195e+00,1.626500000000000000e+04,6.870000000000000000e+02,1.020000000000000000e+02,6.751999999999999602e+01,2.491330506813058605e+02
1.230000000000000071e+01,5.100000000000000089e-01,3.779999999999999805e+00,1.645100000000000000e+04,5.960000000000000000e+02,1.020000000000000000e+02,3.946000000000000085e+01,2.519820360748947223e+02
1.280000000000000071e+01,2.099999999999999922e-01,4.139999999999999680e+00,1.254400000000000000e+04,5.650000000000000000e+02,1.020000000000000000e+02,4.340999999999999659e+01,1.921380256837565526e+02
1.209999999999999964e+01,3.599999999999999867e-01,3.720000000000000195e+00,1.275700000000000000e+04,5.790000000000000000e+02,1.010000000000000000e+02,3.875999999999999801e+01,1.993281250000000284e+02
1.200000000000000000e+01,3.300000000000000155e-01,4.750000000000000000e+00,1.341600000000000000e+04,5.780000000000000000e+02,1.020000000000000000e+02,3.677000000000000313e+01,2.054945593569258335e+02
1.250000000000000000e+01,5.799999999999999600e-01,3.359999999999999876e+00,1.296900000000000000e+04,5.380000000000000000e+02,1.010000000000000000e+02,4.414999999999999858e+01,2.026406250000000284e+02
1.330000000000000071e+01,3.400000000000000244e-01,2.910000000000000142e+00,1.371800000000000000e+04,6.000000000000000000e+02,1.020000000000000000e+02,5.946000000000000085e+01,2.101203313400647517e+02
1.259999999999999964e+01,3.200000000000000067e-01,2.209999999999999964e+00,1.500900000000000000e+04,5.550000000000000000e+02,1.010000000000000000e+02,5.460999999999999943e+01,2.345156250000000853e+02
1.340000000000000036e+01,1.700000000000000122e-01,3.680000000000000160e+00,8.659000000000000000e+03,5.290000000000000000e+02,1.010000000000000000e+02,4.882000000000000028e+01,1.352968750000000284e+02
1.230000000000000071e+01,2.500000000000000000e-01,3.250000000000000000e+00,1.443100000000000000e+04,4.880000000000000000e+02,1.010000000000000000e+02,4.631000000000000227e+01,2.254843750000000853e+02
1.269999999999999929e+01,1.799999999999999933e-01,2.700000000000000178e+00,1.470200000000000000e+04,5.700000000000000000e+02,1.000000000000000000e+02,6.929999999999999716e+01,2.343829711253954429e+02
1.240000000000000036e+01,3.900000000000000133e-01,3.950000000000000178e+00,1.473800000000000000e+04,5.660000000000000000e+02,1.030000000000000000e+02,3.882000000000000028e+01,2.213391484044598485e+02
1.190000000000000036e+01,4.600000000000000200e-01,2.899999999999999911e+00,1.031000000000000000e+04,4.950000000000000000e+02,1.020000000000000000e+02,3.528999999999999915e+01,1.579195667091462099e+02
1.190000000000000036e+01,1.199999999999999956e-01,3.830000000000000071e+00,1.103700000000000000e+04,5.250000000000000000e+02,1.020000000000000000e+02,5.338000000000000256e+01,1.690551171453779489e+02
1.300000000000000000e+01,1.600000000000000033e-01,4.000000000000000000e+00,1.259100000000000000e+04,4.700000000000000000e+02,1.020000000000000000e+02,5.788000000000000256e+01,1.928579305950397611e+02
1.180000000000000071e+01,3.599999999999999867e-01,2.970000000000000195e+00,1.278200000000000000e+04,5.360000000000000000e+02,1.030000000000000000e+02,4.110999999999999943e+01,1.919634275278739040e+02
1.269999999999999929e+01,2.000000000000000111e-01,2.029999999999999805e+00,1.517100000000000000e+04,5.080000000000000000e+02,1.040000000000000000e+02,7.164000000000000057e+01,2.234394146479404526e+02
1.290000000000000036e+01,3.699999999999999956e-01,3.080000000000000071e+00,9.778000000000000000e+03,4.650000000000000000e+02,1.030000000000000000e+02,3.087000000000000099e+01,1.468485678585159633e+02
1.300000000000000000e+01,1.600000000000000033e-01,2.500000000000000000e+00,1.220800000000000000e+04,5.400000000000000000e+02,1.040000000000000000e+02,5.796000000000000085e+01,1.798001696672636456e+02
1.230000000000000071e+01,3.900000000000000133e-01,3.649999999999999911e+00,1.641000000000000000e+04,5.640000000000000000e+02,1.010000000000000000e+02,5.504999999999999716e+01,2.564062500000000568e+02
1.250000000000000000e+01,1.900000000000000022e-01,4.500000000000000000e+00,1.521900000000000000e+04,5.110000000000000000e+02,9.900000000000000000e+01,7.210999999999999943e+01,2.476019106622240997e+02
1.230000000000000071e+01,2.899999999999999800e-01,3.629999999999999893e+00,1.425700000000000000e+04,5.300000000000000000e+02,1.010000000000000000e+02,6.793000000000000682e+01,2.227656250000000853e+02
1.259999999999999964e+01,8.999999999999999667e-02,4.429999999999999716e+00,1.310000000000000000e+04,5.690000000000000000e+02,1.030000000000000000e+02,6.271999999999999886e+01,1.967392349096501221e+02
1.180000000000000071e+01,1.799999999999999933e-01,4.000000000000000000e+00,1.485200000000000000e+04,4.980000000000000000e+02,1.020000000000000000e+02,5.145000000000000284e+01,2.274899519654936739e+02
1.230000000000000071e+01,1.300000000000000044e-01,5.839999999999999858e+00,1.307300000000000000e+04,4.960000000000000000e+02,1.000000000000000000e+02,4.052000000000000313e+01,2.084130445872870325e+02
1.350000000000000000e+01,5.999999999999999778e-02,2.390000000000000124e+00,1.409100000000000000e+04,6.170000000000000000e+02,1.010000000000000000e+02,5.300000000000000000e+01,2.201718750000000853e+02
1.290000000000000036e+01,4.600000000000000200e-01,2.049999999999999822e+00,1.947500000000000000e+04,6.550000000000000000e+02,1.000000000000000000e+02,5.385000000000000142e+01,3.104753341495766108e+02
1.269999999999999929e+01,4.299999999999999933e-01,3.629999999999999893e+00,1.400200000000000000e+04,5.430000000000000000e+02,1.010000000000000000e+02,5.728000000000000114e+01,2.187812500000000853e+02
1.190000000000000036e+01,2.300000000000000100e-01,2.540000000000000036e+00,1.141000000000000000e+04,5.070000000000000000e+02,1.010000000000000000e+02,4.017999999999999972e+01,1.782812500000000284e+02
1.300000000000000000e+01,3.499999999999999778e-01,2.720000000000000195e+00,1.308800000000000000e+04,4.900000000000000000e+02,1.930000000000000000e+02,3.117999999999999972e+01,5.547417534722223564e+01
1.309999999999999964e+01,2.999999999999999889e-01,2.979999999999999982e+00,1.747800000000000000e+04,5.980000000000000000e+02,1.930000000000000000e+02,5.402000000000000313e+01,7.408142089843752842e+01
1.319999999999999929e+01,4.400000000000000022e-01,3.220000000000000195e+00,1.572800000000000000e+04,6.660000000000000000e+02,1.930000000000000000e+02,3.144000000000000128e+01,6.666395399305557135e+01
1.430000000000000071e+01,8.999999999999999667e-02,3.779999999999999805e+00,1.635100000000000000e+04,5.950000000000000000e+02,1.930000000000000000e+02,4.911999999999999744e+01,6.930457221137154988e+01
1.409999999999999964e+01,2.700000000000000178e-01,2.580000000000000071e+00,1.725900000000000000e+04,5.700000000000000000e+02,1.940000000000000000e+02,3.178000000000000114e+01,7.239707777390000842e+01
1.400000000000000000e+01,1.600000000000000033e-01,4.290000000000000036e+00,1.473300000000000000e+04,5.550000000000000000e+02,1.930000000000000000e+02,5.282000000000000028e+01,6.244659423828127132e+01
1.419999999999999929e+01,1.799999999999999933e-01,3.080000000000000071e+00,1.604000000000000000e+04,6.840000000000000000e+02,1.930000000000000000e+02,5.500999999999999801e+01,6.798638237847224275e+01
1.509999999999999964e+01,1.700000000000000122e-01,3.689999999999999947e+00,1.646100000000000000e+04,6.280000000000000000e+02,1.930000000000000000e+02,5.089000000000000057e+01,6.977081298828127842e+01
1.469999999999999929e+01,1.900000000000000022e-01,2.850000000000000089e+00,1.876100000000000000e+04,6.440000000000000000e+02,1.920000000000000000e+02,5.717999999999999972e+01,8.035432828047480314e+01
1.240000000000000036e+01,3.300000000000000155e-01,2.669999999999999929e+00,1.733600000000000000e+04,6.050000000000000000e+02,1.930000000000000000e+02,3.607000000000000028e+01,7.347954644097224275e+01
1.459999999999999964e+01,2.700000000000000178e-01,3.140000000000000124e+00,1.574200000000000000e+04,6.440000000000000000e+02,1.930000000000000000e+02,4.910999999999999943e+01,6.672329372829862848e+01
1.540000000000000036e+01,2.399999999999999911e-01,3.330000000000000071e+00,1.941500000000000000e+04,6.820000000000000000e+02,1.930000000000000000e+02,6.484000000000000341e+01,8.229149712456599275e+01
1.530000000000000071e+01,1.900000000000000022e-01,2.399999999999999911e+00,1.587300000000000000e+04,6.170000000000000000e+02,1.930000000000000000e+02,3.135000000000000142e+01,6.727854410807293561e+01
1.340000000000000036e+01,5.000000000000000000e-01,2.370000000000000107e+00,1.398500000000000000e+04,5.960000000000000000e+02,1.930000000000000000e+02,2.042000000000000171e+01,5.927615695529516415e+01
1.530000000000000071e+01,4.500000000000000111e-01,2.790000000000000036e+00,1.593400000000000000e+04,6.160000000000000000e+02,1.920000000000000000e+02,3.503000000000000114e+01,6.824614182725257194e+01
1.530000000000000071e+01,2.200000000000000011e-01,4.110000000000000320e+00,1.496600000000000000e+04,6.430000000000000000e+02,1.930000000000000000e+02,4.961999999999999744e+01,6.343417697482641415e+01
1.480000000000000071e+01,2.999999999999999889e-01,3.040000000000000036e+00,1.372900000000000000e+04,5.620000000000000000e+02,1.930000000000000000e+02,3.014000000000000057e+01,5.819108751085070708e+01
1.430000000000000071e+01,1.400000000000000133e-01,3.709999999999999964e+00,1.596900000000000000e+04,5.910000000000000000e+02,1.930000000000000000e+02,4.346000000000000085e+01,6.768544514973960702e+01
1.450000000000000000e+01,2.800000000000000266e-01,5.419999999999999929e+00,1.226300000000000000e+04,5.450000000000000000e+02,1.930000000000000000e+02,2.394000000000000128e+01,5.197736952039931424e+01
1.469999999999999929e+01,1.900000000000000022e-01,3.410000000000000142e+00,2.165400000000000000e+04,7.160000000000000000e+02,1.930000000000000000e+02,7.548999999999999488e+01,9.178161621093752842e+01
1.400000000000000000e+01,3.099999999999999978e-01,4.500000000000000000e+00,1.181300000000000000e+04,5.290000000000000000e+02,1.930000000000000000e+02,2.560000000000000142e+01,5.007002088758681424e+01
1.530000000000000071e+01,2.399999999999999911e-01,4.400000000000000355e+00,1.493400000000000000e+04,6.020000000000000000e+02,1.930000000000000000e+02,4.746000000000000085e+01,6.329854329427085702e+01
1.600000000000000000e+01,2.399999999999999911e-01,4.080000000000000071e+00,1.575400000000000000e+04,6.210000000000000000e+02,1.930000000000000000e+02,4.307999999999999829e+01,6.677415635850697129e+01
1.500000000000000000e+01,3.300000000000000155e-01,3.779999999999999805e+00,1.623200000000000000e+04,6.520000000000000000e+02,1.930000000000000000e+02,4.436999999999999744e+01,6.880018446180557135e+01
1.469999999999999929e+01,4.299999999999999933e-01,3.930000000000000160e+00,1.397700000000000000e+04,6.750000000000000000e+02,1.920000000000000000e+02,4.246999999999999886e+01,5.986421013678356218e+01
1.530000000000000071e+01,3.900000000000000133e-01,3.020000000000000018e+00,1.621900000000000000e+04,6.560000000000000000e+02,1.920000000000000000e+02,3.795000000000000284e+01,6.946681149091310203e+01
1.519999999999999929e+01,1.400000000000000133e-01,3.290000000000000036e+00,1.660400000000000000e+04,6.230000000000000000e+02,1.920000000000000000e+02,3.472999999999999687e+01,7.111578629971769772e+01
1.509999999999999964e+01,1.100000000000000006e-01,3.069999999999999840e+00,1.745800000000000000e+04,6.330000000000000000e+02,1.930000000000000000e+02,6.525000000000000000e+01,7.399664984809029988e+01
1.440000000000000036e+01,2.000000000000000111e-01,3.669999999999999929e+00,1.845100000000000000e+04,6.950000000000000000e+02,1.920000000000000000e+02,5.706000000000000227e+01,7.902658233052825665e+01
1.300000000000000000e+01,3.599999999999999867e-01,3.450000000000000178e+00,1.245600000000000000e+04,5.530000000000000000e+02,1.930000000000000000e+02,3.606000000000000227e+01,5.279541015625001421e+01
1.400000000000000000e+01,2.899999999999999800e-01,2.720000000000000195e+00,1.279700000000000000e+04,4.780000000000000000e+02,1.930000000000000000e+02,3.675999999999999801e+01,5.424075656467014994e+01
1.419999999999999929e+01,1.600000000000000033e-01,5.790000000000000036e+00,1.152800000000000000e+04,5.240000000000000000e+02,1.920000000000000000e+02,3.970000000000000284e+01,4.937501713220582644e+01
1.330000000000000071e+01,2.099999999999999922e-01,3.500000000000000000e+00,1.940900000000000000e+04,6.730000000000000000e+02,1.920000000000000000e+02,5.700000000000000000e+01,8.312974562100822595e+01
1.440000000000000036e+01,2.399999999999999911e-01,4.169999999999999929e+00,1.842800000000000000e+04,6.560000000000000000e+02,1.920000000000000000e+02,5.057999999999999829e+01,7.892807214714511588e+01
1.450000000000000000e+01,1.499999999999999944e-01,2.950000000000000178e+00,2.088400000000000000e+04,7.060000000000000000e+02,1.900000000000000000e+02,5.789999999999999858e+01,9.135032613868597196e+01
1.409999999999999964e+01,2.899999999999999800e-01,4.179999999999999716e+00,1.355300000000000000e+04,6.070000000000000000e+02,1.920000000000000000e+02,3.142999999999999972e+01,5.804819632137278518e+01
1.259999999999999964e+01,2.300000000000000100e-01,3.259999999999999787e+00,1.786000000000000000e+04,6.420000000000000000e+02,1.330000000000000000e+02,6.942000000000000171e+01,1.601598370064279209e+02
1.330000000000000071e+01,1.499999999999999944e-01,4.709999999999999964e+00,1.429700000000000000e+04,5.420000000000000000e+02,1.340000000000000000e+02,5.889999999999999858e+01,1.262878766465035056e+02
1.359999999999999964e+01,1.100000000000000006e-01,4.799999999999999822e+00,1.433800000000000000e+04,5.370000000000000000e+02,1.330000000000000000e+02,4.432000000000000028e+01,1.285762454086317916e+02
1.309999999999999964e+01,1.600000000000000033e-01,3.339999999999999858e+00,1.788600000000000000e+04,6.100000000000000000e+02,1.340000000000000000e+02,7.640999999999999659e+01,1.579901351122166488e+02
1.440000000000000036e+01,2.999999999999999889e-01,3.319999999999999840e+00,1.716000000000000000e+04,5.720000000000000000e+02,1.340000000000000000e+02,6.343999999999999773e+01,1.515772513991746564e+02
1.280000000000000071e+01,2.200000000000000011e-01,1.979999999999999982e+00,1.915100000000000000e+04,5.850000000000000000e+02,1.350000000000000000e+02,6.931000000000000227e+01,1.666486828915126353e+02
1.269999999999999929e+01,2.399999999999999911e-01,3.640000000000000124e+00,2.051900000000000000e+04,6.780000000000000000e+02,1.330000000000000000e+02,8.834999999999999432e+01,1.840044622359963284e+02
1.380000000000000071e+01,1.600000000000000033e-01,2.939999999999999947e+00,1.991400000000000000e+04,6.340000000000000000e+02,1.340000000000000000e+02,6.481999999999999318e+01,1.759038102775736547e+02
